   redshift            theoretical_distance
     0.052110422       232.46302
     0.052310462       233.38720
     0.052510502       234.31163
     0.052710542       235.23631
     0.052910582       236.16124
     0.053110622       237.08643
     0.053310662       238.01186
     0.053510702       238.93755
     0.053710742       239.86349
     0.053910782       240.78967
     0.054110822       241.71611
     0.054310862       242.64280
     0.054510902       243.56974
     0.054710942       244.49693
     0.054910982       245.42437
     0.055111022       246.35206
     0.055311062       247.28000
     0.055511102       248.20819
     0.055711142       249.13663
     0.055911182       250.06532
     0.056111222       250.99426
     0.056311262       251.92344
     0.056511302       252.85288
     0.056711342       253.78257
     0.056911382       254.71251
     0.057111422       255.64270
     0.057311462       256.57314
     0.057511502       257.50383
     0.057711542       258.43477
     0.057911582       259.36595
     0.058111622       260.29739
     0.058311662       261.22908
     0.058511702       262.16101
     0.058711742       263.09319
     0.058911782       264.02563
     0.059111822       264.95831
     0.059311862       265.89124
     0.059511902       266.82442
     0.059711942       267.75785
     0.059911982       268.69153
     0.060112022       269.62546
     0.060312062       270.55964
     0.060512102       271.49406
     0.060712142       272.42873
     0.060912182       273.36366
     0.061112222       274.29883
     0.061312262       275.23425
     0.061512302       276.16992
     0.061712342       277.10583
     0.061912382       278.04200
     0.062112422       278.97841
     0.062312462       279.91507
     0.062512503       280.85198
     0.062712543       281.78914
     0.062912583       282.72654
     0.063112623       283.66420
     0.063312663       284.60210
     0.063512703       285.54025
     0.063712743       286.47865
     0.063912783       287.41729
     0.064112823       288.35618
     0.064312863       289.29533
     0.064512903       290.23471
     0.064712943       291.17435
     0.064912983       292.11423
     0.065113023       293.05436
     0.065313063       293.99474
     0.065513103       294.93537
     0.065713143       295.87624
     0.065913183       296.81736
     0.066113223       297.75873
     0.066313263       298.70034
     0.066513303       299.64221
     0.066713343       300.58431
     0.066913383       301.52667
     0.067113423       302.46927
     0.067313463       303.41212
     0.067513503       304.35522
     0.067713543       305.29856
     0.067913583       306.24215
     0.068113623       307.18599
     0.068313663       308.13007
     0.068513703       309.07440
     0.068713743       310.01898
     0.068913783       310.96380
     0.069113823       311.90887
     0.069313863       312.85418
     0.069513903       313.79974
     0.069713943       314.74555
     0.069913983       315.69160
     0.070114023       316.63790
     0.070314063       317.58445
     0.070514103       318.53124
     0.070714143       319.47828
     0.070914183       320.42556
     0.071114223       321.37309
     0.071314263       322.32087
     0.071514303       323.26889
     0.071714343       324.21715
     0.071914383       325.16567
     0.072114423       326.11442
     0.072314463       327.06343
     0.072514503       328.01268
     0.072714543       328.96217
     0.072914583       329.91191
     0.073114623       330.86189
     0.073314663       331.81212
     0.073514703       332.76260
     0.073714743       333.71332
     0.073914783       334.66428
     0.074114823       335.61549
     0.074314863       336.56695
     0.074514903       337.51865
     0.074714943       338.47059
     0.074914983       339.42278
     0.075115023       340.37522
     0.075315063       341.32789
     0.075515103       342.28082
     0.075715143       343.23398
     0.075915183       344.18740
     0.076115223       345.14105
     0.076315263       346.09495
     0.076515303       347.04910
     0.076715343       348.00349
     0.076915383       348.95812
     0.077115423       349.91300
     0.077315463       350.86812
     0.077515503       351.82349
     0.077715543       352.77910
     0.077915583       353.73495
     0.078115623       354.69105
     0.078315663       355.64739
     0.078515703       356.60398
     0.078715743       357.56081
     0.078915783       358.51788
     0.079115823       359.47520
     0.079315863       360.43276
     0.079515903       361.39056
     0.079715943       362.34861
     0.079915983       363.30690
     0.080116023       364.26543
     0.080316063       365.22421
     0.080516103       366.18323
     0.080716143       367.14250
     0.080916183       368.10200
     0.081116223       369.06175
     0.081316263       370.02174
     0.081516303       370.98198
     0.081716343       371.94246
     0.081916383       372.90318
     0.082116423       373.86414
     0.082316463       374.82535
     0.082516503       375.78680
     0.082716543       376.74849
     0.082916583       377.71043
     0.083116623       378.67260
     0.083316663       379.63502
     0.083516703       380.59769
     0.083716743       381.56059
     0.083916783       382.52374
     0.084116823       383.48713
     0.084316863       384.45076
     0.084516903       385.41463
     0.084716943       386.37875
     0.084916983       387.34310
     0.085117023       388.30770
     0.085317063       389.27254
     0.085517103       390.23763
     0.085717143       391.20295
     0.085917183       392.16852
     0.086117223       393.13433
     0.086317263       394.10038
     0.086517303       395.06667
     0.086717343       396.03320
     0.086917383       396.99997
     0.087117423       397.96699
     0.087317463       398.93425
     0.087517504       399.90175
     0.087717544       400.86949
     0.087917584       401.83747
     0.088117624       402.80569
     0.088317664       403.77415
     0.088517704       404.74286
     0.088717744       405.71180
     0.088917784       406.68099
     0.089117824       407.65041
     0.089317864       408.62008
     0.089517904       409.58999
     0.089717944       410.56014
     0.089917984       411.53053
     0.090118024       412.50116
     0.090318064       413.47203
     0.090518104       414.44314
     0.090718144       415.41449
     0.090918184       416.38609
     0.091118224       417.35792
     0.091318264       418.32999
     0.091518304       419.30230
     0.091718344       420.27486
     0.091918384       421.24765
     0.092118424       422.22068
     0.092318464       423.19396
     0.092518504       424.16747
     0.092718544       425.14122
     0.092918584       426.11521
     0.093118624       427.08945
     0.093318664       428.06392
     0.093518704       429.03863
     0.093718744       430.01358
     0.093918784       430.98877
     0.094118824       431.96420
     0.094318864       432.93987
     0.094518904       433.91578
     0.094718944       434.89193
     0.094918984       435.86832
     0.095119024       436.84495
     0.095319064       437.82181
     0.095519104       438.79892
     0.095719144       439.77626
     0.095919184       440.75385
     0.096119224       441.73167
     0.096319264       442.70973
     0.096519304       443.68803
     0.096719344       444.66657
     0.096919384       445.64535
     0.097119424       446.62437
     0.097319464       447.60362
     0.097519504       448.58311
     0.097719544       449.56285
     0.097919584       450.54282
     0.098119624       451.52303
     0.098319664       452.50347
     0.098519704       453.48416
     0.098719744       454.46508
     0.098919784       455.44624
     0.099119824       456.42764
     0.099319864       457.40928
     0.099519904       458.39116
     0.099719944       459.37327
     0.099919984       460.35563
      0.10012002       461.33822
      0.10032006       462.32104
      0.10052010       463.30411
      0.10072014       464.28741
      0.10092018       465.27095
      0.10112022       466.25473
      0.10132026       467.23875
      0.10152030       468.22300
      0.10172034       469.20749
      0.10192038       470.19222
      0.10212042       471.17718
      0.10232046       472.16239
      0.10252050       473.14783
      0.10272054       474.13350
      0.10292058       475.11942
      0.10312062       476.10557
      0.10332066       477.09196
      0.10352070       478.07858
      0.10372074       479.06545
      0.10392078       480.05254
      0.10412082       481.03988
      0.10432086       482.02745
      0.10452090       483.01526
      0.10472094       484.00331
      0.10492098       484.99159
      0.10512102       485.98011
      0.10532106       486.96886
      0.10552110       487.95785
      0.10572114       488.94708
      0.10592118       489.93655
      0.10612122       490.92625
      0.10632126       491.91618
      0.10652130       492.90635
      0.10672134       493.89676
      0.10692138       494.88741
      0.10712142       495.87829
      0.10732146       496.86940
      0.10752150       497.86076
      0.10772154       498.85235
      0.10792158       499.84417
      0.10812162       500.83623
      0.10832166       501.82852
      0.10852170       502.82105
      0.10872174       503.81382
      0.10892178       504.80682
      0.10912182       505.80006
      0.10932186       506.79353
      0.10952190       507.78724
      0.10972194       508.78118
      0.10992198       509.77536
      0.11012202       510.76977
      0.11032206       511.76442
      0.11052210       512.75931
      0.11072214       513.75442
      0.11092218       514.74978
      0.11112222       515.74537
      0.11132226       516.74119
      0.11152230       517.73725
      0.11172234       518.73354
      0.11192238       519.73007
      0.11212242       520.72683
      0.11232246       521.72382
      0.11252250       522.72105
      0.11272254       523.71852
      0.11292258       524.71622
      0.11312262       525.71415
      0.11332266       526.71232
      0.11352270       527.71072
      0.11372274       528.70936
      0.11392278       529.70823
      0.11412282       530.70733
      0.11432286       531.70667
      0.11452290       532.70625
      0.11472294       533.70605
      0.11492298       534.70609
      0.11512302       535.70637
      0.11532306       536.70687
      0.11552310       537.70762
      0.11572314       538.70859
      0.11592318       539.70980
      0.11612322       540.71124
      0.11632326       541.71292
      0.11652330       542.71483
      0.11672334       543.71697
      0.11692338       544.71935
      0.11712342       545.72195
      0.11732346       546.72480
      0.11752350       547.72787
      0.11772354       548.73118
      0.11792358       549.73472
      0.11812362       550.73850
      0.11832366       551.74250
      0.11852370       552.74674
      0.11872374       553.75122
      0.11892378       554.75592
      0.11912382       555.76086
      0.11932386       556.76603
      0.11952390       557.77143
      0.11972394       558.77707
      0.11992398       559.78294
      0.12012402       560.78904
      0.12032406       561.79537
      0.12052410       562.80194
      0.12072414       563.80874
      0.12092418       564.81577
      0.12112422       565.82303
      0.12132426       566.83053
      0.12152430       567.83825
      0.12172434       568.84621
      0.12192438       569.85440
      0.12212442       570.86282
      0.12232446       571.87148
      0.12252450       572.88036
      0.12272454       573.88948
      0.12292458       574.89883
      0.12312462       575.90841
      0.12332466       576.91823
      0.12352470       577.92827
      0.12372474       578.93855
      0.12392478       579.94905
      0.12412482       580.95979
      0.12432486       581.97076
      0.12452490       582.98196
      0.12472494       583.99339
      0.12492498       585.00506
      0.12512503       586.01695
      0.12532507       587.02908
      0.12552511       588.04143
      0.12572515       589.05402
      0.12592519       590.06684
      0.12612523       591.07989
      0.12632527       592.09317
      0.12652531       593.10668
      0.12672535       594.12042
      0.12692539       595.13439
      0.12712543       596.14859
      0.12732547       597.16303
      0.12752551       598.17769
      0.12772555       599.19258
      0.12792559       600.20771
      0.12812563       601.22306
      0.12832567       602.23865
      0.12852571       603.25446
      0.12872575       604.27051
      0.12892579       605.28678
      0.12912583       606.30329
      0.12932587       607.32002
      0.12952591       608.33699
      0.12972595       609.35418
      0.12992599       610.37160
      0.13012603       611.38926
      0.13032607       612.40714
      0.13052611       613.42526
      0.13072615       614.44360
      0.13092619       615.46217
      0.13112623       616.48097
      0.13132627       617.50001
      0.13152631       618.51927
      0.13172635       619.53876
      0.13192639       620.55848
      0.13212643       621.57842
      0.13232647       622.59860
      0.13252651       623.61901
      0.13272655       624.63965
      0.13292659       625.66051
      0.13312663       626.68160
      0.13332667       627.70293
      0.13352671       628.72448
      0.13372675       629.74626
      0.13392679       630.76827
      0.13412683       631.79051
      0.13432687       632.81297
      0.13452691       633.83567
      0.13472695       634.85859
      0.13492699       635.88174
      0.13512703       636.90512
      0.13532707       637.92873
      0.13552711       638.95257
      0.13572715       639.97663
      0.13592719       641.00093
      0.13612723       642.02545
      0.13632727       643.05020
      0.13652731       644.07518
      0.13672735       645.10038
      0.13692739       646.12582
      0.13712743       647.15148
      0.13732747       648.17737
      0.13752751       649.20348
      0.13772755       650.22983
      0.13792759       651.25640
      0.13812763       652.28320
      0.13832767       653.31023
      0.13852771       654.33748
      0.13872775       655.36497
      0.13892779       656.39268
      0.13912783       657.42061
      0.13932787       658.44878
      0.13952791       659.47717
      0.13972795       660.50579
      0.13992799       661.53464
      0.14012803       662.56371
      0.14032807       663.59301
      0.14052811       664.62254
      0.14072815       665.65229
      0.14092819       666.68227
      0.14112823       667.71248
      0.14132827       668.74291
      0.14152831       669.77358
      0.14172835       670.80446
      0.14192839       671.83558
      0.14212843       672.86692
      0.14232847       673.89849
      0.14252851       674.93028
      0.14272855       675.96230
      0.14292859       676.99455
      0.14312863       678.02702
      0.14332867       679.05972
      0.14352871       680.09264
      0.14372875       681.12580
      0.14392879       682.15917
      0.14412883       683.19278
      0.14432887       684.22661
      0.14452891       685.26066
      0.14472895       686.29494
      0.14492899       687.32945
      0.14512903       688.36418
      0.14532907       689.39914
      0.14552911       690.43433
      0.14572915       691.46974
      0.14592919       692.50537
      0.14612923       693.54123
      0.14632927       694.57732
      0.14652931       695.61363
      0.14672935       696.65017
      0.14692939       697.68693
      0.14712943       698.72392
      0.14732947       699.76113
      0.14752951       700.79857
      0.14772955       701.83623
      0.14792959       702.87412
      0.14812963       703.91223
      0.14832967       704.95057
      0.14852971       705.98913
      0.14872975       707.02792
      0.14892979       708.06693
      0.14912983       709.10616
      0.14932987       710.14563
      0.14952991       711.18531
      0.14972995       712.22522
      0.14992999       713.26536
      0.15013003       714.30571
      0.15033007       715.34630
      0.15053011       716.38711
      0.15073015       717.42814
      0.15093019       718.46939
      0.15113023       719.51088
      0.15133027       720.55258
      0.15153031       721.59451
      0.15173035       722.63666
      0.15193039       723.67904
      0.15213043       724.72164
      0.15233047       725.76446
      0.15253051       726.80751
      0.15273055       727.85078
      0.15293059       728.89428
      0.15313063       729.93800
      0.15333067       730.98194
      0.15353071       732.02611
      0.15373075       733.07050
      0.15393079       734.11511
      0.15413083       735.15995
      0.15433087       736.20500
      0.15453091       737.25029
      0.15473095       738.29579
      0.15493099       739.34152
      0.15513103       740.38748
      0.15533107       741.43365
      0.15553111       742.48005
      0.15573115       743.52667
      0.15593119       744.57352
      0.15613123       745.62058
      0.15633127       746.66787
      0.15653131       747.71539
      0.15673135       748.76312
      0.15693139       749.81108
      0.15713143       750.85926
      0.15733147       751.90766
      0.15753151       752.95629
      0.15773155       754.00514
      0.15793159       755.05421
      0.15813163       756.10350
      0.15833167       757.15301
      0.15853171       758.20275
      0.15873175       759.25271
      0.15893179       760.30289
      0.15913183       761.35330
      0.15933187       762.40392
      0.15953191       763.45477
      0.15973195       764.50584
      0.15993199       765.55713
      0.16013203       766.60864
      0.16033207       767.66038
      0.16053211       768.71233
      0.16073215       769.76451
      0.16093219       770.81691
      0.16113223       771.86953
      0.16133227       772.92237
      0.16153231       773.97544
      0.16173235       775.02872
      0.16193239       776.08223
      0.16213243       777.13596
      0.16233247       778.18991
      0.16253251       779.24408
      0.16273255       780.29847
      0.16293259       781.35308
      0.16313263       782.40791
      0.16333267       783.46297
      0.16353271       784.51824
      0.16373275       785.57374
      0.16393279       786.62945
      0.16413283       787.68539
      0.16433287       788.74155
      0.16453291       789.79793
      0.16473295       790.85453
      0.16493299       791.91135
      0.16513303       792.96839
      0.16533307       794.02565
      0.16553311       795.08313
      0.16573315       796.14083
      0.16593319       797.19875
      0.16613323       798.25690
      0.16633327       799.31526
      0.16653331       800.37384
      0.16673335       801.43264
      0.16693339       802.49166
      0.16713343       803.55091
      0.16733347       804.61037
      0.16753351       805.67005
      0.16773355       806.72995
      0.16793359       807.79007
      0.16813363       808.85042
      0.16833367       809.91098
      0.16853371       810.97176
      0.16873375       812.03276
      0.16893379       813.09398
      0.16913383       814.15541
      0.16933387       815.21707
      0.16953391       816.27895
      0.16973395       817.34105
      0.16993399       818.40336
      0.17013403       819.46590
      0.17033407       820.52865
      0.17053411       821.59163
      0.17073415       822.65482
      0.17093419       823.71823
      0.17113423       824.78186
      0.17133427       825.84571
      0.17153431       826.90978
      0.17173435       827.97406
      0.17193439       829.03857
      0.17213443       830.10329
      0.17233447       831.16824
      0.17253451       832.23340
      0.17273455       833.29878
      0.17293459       834.36437
      0.17313463       835.43019
      0.17333467       836.49623
      0.17353471       837.56248
      0.17373475       838.62895
      0.17393479       839.69564
      0.17413483       840.76255
      0.17433487       841.82967
      0.17453491       842.89702
      0.17473495       843.96458
      0.17493499       845.03236
      0.17513503       846.10035
      0.17533507       847.16857
      0.17553511       848.23700
      0.17573515       849.30565
      0.17593519       850.37452
      0.17613523       851.44361
      0.17633527       852.51291
      0.17653531       853.58243
      0.17673535       854.65217
      0.17693539       855.72213
      0.17713543       856.79230
      0.17733547       857.86269
      0.17753551       858.93330
      0.17773555       860.00412
      0.17793559       861.07516
      0.17813563       862.14642
      0.17833567       863.21790
      0.17853571       864.28959
      0.17873575       865.36150
      0.17893579       866.43363
      0.17913583       867.50597
      0.17933587       868.57853
      0.17953591       869.65131
      0.17973595       870.72431
      0.17993599       871.79752
      0.18013603       872.87094
      0.18033607       873.94459
      0.18053611       875.01845
      0.18073615       876.09252
      0.18093619       877.16682
      0.18113623       878.24133
      0.18133627       879.31605
      0.18153631       880.39099
      0.18173635       881.46615
      0.18193639       882.54152
      0.18213643       883.61711
      0.18233647       884.69292
      0.18253651       885.76894
      0.18273655       886.84518
      0.18293659       887.92163
      0.18313663       888.99830
      0.18333667       890.07519
      0.18353671       891.15229
      0.18373675       892.22961
      0.18393679       893.30714
      0.18413683       894.38489
      0.18433687       895.46285
      0.18453691       896.54103
      0.18473695       897.61942
      0.18493699       898.69803
      0.18513703       899.77685
      0.18533707       900.85589
      0.18553711       901.93515
      0.18573715       903.01462
      0.18593719       904.09430
      0.18613723       905.17420
      0.18633727       906.25432
      0.18653731       907.33465
      0.18673735       908.41519
      0.18693739       909.49595
      0.18713743       910.57693
      0.18733747       911.65812
      0.18753751       912.73952
      0.18773755       913.82114
      0.18793759       914.90297
      0.18813763       915.98502
      0.18833767       917.06728
      0.18853771       918.14976
      0.18873775       919.23245
      0.18893779       920.31535
      0.18913783       921.39847
      0.18933787       922.48181
      0.18953791       923.56535
      0.18973795       924.64911
      0.18993799       925.73309
      0.19013803       926.81728
      0.19033807       927.90168
      0.19053811       928.98630
      0.19073815       930.07113
      0.19093819       931.15618
      0.19113823       932.24144
      0.19133827       933.32691
      0.19153831       934.41259
      0.19173835       935.49849
      0.19193839       936.58461
      0.19213843       937.67093
      0.19233847       938.75747
      0.19253851       939.84423
      0.19273855       940.93119
      0.19293859       942.01837
      0.19313863       943.10577
      0.19333867       944.19337
      0.19353871       945.28119
      0.19373875       946.36923
      0.19393879       947.45747
      0.19413883       948.54593
      0.19433887       949.63460
      0.19453891       950.72349
      0.19473895       951.81258
      0.19493899       952.90189
      0.19513903       953.99142
      0.19533907       955.08115
      0.19553911       956.17110
      0.19573915       957.26126
      0.19593919       958.35163
      0.19613923       959.44222
      0.19633927       960.53302
      0.19653931       961.62403
      0.19673935       962.71525
      0.19693939       963.80668
      0.19713943       964.89833
      0.19733947       965.99019
      0.19753951       967.08226
      0.19773955       968.17454
      0.19793959       969.26704
      0.19813963       970.35975
      0.19833967       971.45267
      0.19853971       972.54580
      0.19873975       973.63914
      0.19893979       974.73269
      0.19913983       975.82646
      0.19933987       976.92044
      0.19953991       978.01463
      0.19973995       979.10903
      0.19993999       980.20364
      0.20014003       981.29846
      0.20034007       982.39350
      0.20054011       983.48874
      0.20074015       984.58420
      0.20094019       985.67987
      0.20114023       986.77575
      0.20134027       987.87184
      0.20154031       988.96814
      0.20174035       990.06466
      0.20194039       991.16138
      0.20214043       992.25832
      0.20234047       993.35546
      0.20254051       994.45282
      0.20274055       995.55039
      0.20294059       996.64817
      0.20314063       997.74615
      0.20334067       998.84435
      0.20354071       999.94276
      0.20374075       1001.0414
      0.20394079       1002.1402
      0.20414083       1003.2393
      0.20434087       1004.3385
      0.20454091       1005.4380
      0.20474095       1006.5376
      0.20494099       1007.6375
      0.20514103       1008.7376
      0.20534107       1009.8379
      0.20554111       1010.9384
      0.20574115       1012.0392
      0.20594119       1013.1401
      0.20614123       1014.2412
      0.20634127       1015.3426
      0.20654131       1016.4442
      0.20674135       1017.5459
      0.20694139       1018.6479
      0.20714143       1019.7501
      0.20734147       1020.8525
      0.20754151       1021.9551
      0.20774155       1023.0579
      0.20794159       1024.1610
      0.20814163       1025.2642
      0.20834167       1026.3676
      0.20854171       1027.4713
      0.20874175       1028.5752
      0.20894179       1029.6792
      0.20914183       1030.7835
      0.20934187       1031.8880
      0.20954191       1032.9927
      0.20974195       1034.0976
      0.20994199       1035.2028
      0.21014203       1036.3081
      0.21034207       1037.4136
      0.21054211       1038.5194
      0.21074215       1039.6253
      0.21094219       1040.7315
      0.21114223       1041.8379
      0.21134227       1042.9445
      0.21154231       1044.0513
      0.21174235       1045.1583
      0.21194239       1046.2655
      0.21214243       1047.3729
      0.21234247       1048.4805
      0.21254251       1049.5883
      0.21274255       1050.6964
      0.21294259       1051.8046
      0.21314263       1052.9131
      0.21334267       1054.0218
      0.21354271       1055.1306
      0.21374275       1056.2397
      0.21394279       1057.3490
      0.21414283       1058.4585
      0.21434287       1059.5682
      0.21454291       1060.6781
      0.21474295       1061.7882
      0.21494299       1062.8986
      0.21514303       1064.0091
      0.21534307       1065.1198
      0.21554311       1066.2308
      0.21574315       1067.3420
      0.21594319       1068.4533
      0.21614323       1069.5649
      0.21634327       1070.6767
      0.21654331       1071.7887
      0.21674335       1072.9009
      0.21694339       1074.0133
      0.21714343       1075.1259
      0.21734347       1076.2387
      0.21754351       1077.3517
      0.21774355       1078.4649
      0.21794359       1079.5784
      0.21814363       1080.6920
      0.21834367       1081.8059
      0.21854371       1082.9199
      0.21874375       1084.0342
      0.21894379       1085.1487
      0.21914383       1086.2633
      0.21934387       1087.3782
      0.21954391       1088.4933
      0.21974395       1089.6086
      0.21994399       1090.7241
      0.22014403       1091.8398
      0.22034407       1092.9558
      0.22054411       1094.0719
      0.22074415       1095.1882
      0.22094419       1096.3047
      0.22114423       1097.4215
      0.22134427       1098.5384
      0.22154431       1099.6556
      0.22174435       1100.7729
      0.22194439       1101.8905
      0.22214443       1103.0083
      0.22234447       1104.1263
      0.22254451       1105.2444
      0.22274455       1106.3628
      0.22294459       1107.4814
      0.22314463       1108.6002
      0.22334467       1109.7192
      0.22354471       1110.8384
      0.22374475       1111.9579
      0.22394479       1113.0775
      0.22414483       1114.1973
      0.22434487       1115.3173
      0.22454491       1116.4376
      0.22474495       1117.5580
      0.22494499       1118.6787
      0.22514503       1119.7995
      0.22534507       1120.9206
      0.22554511       1122.0419
      0.22574515       1123.1633
      0.22594519       1124.2850
      0.22614523       1125.4069
      0.22634527       1126.5290
      0.22654531       1127.6512
      0.22674535       1128.7737
      0.22694539       1129.8964
      0.22714543       1131.0193
      0.22734547       1132.1424
      0.22754551       1133.2658
      0.22774555       1134.3893
      0.22794559       1135.5130
      0.22814563       1136.6369
      0.22834567       1137.7610
      0.22854571       1138.8854
      0.22874575       1140.0099
      0.22894579       1141.1347
      0.22914583       1142.2596
      0.22934587       1143.3848
      0.22954591       1144.5101
